Index,ComunidadesAutonomas,Year,ImporteTotal,NumeroTotal,ImporteMedio
1,01 Andalucia,2024,792071,6062,130.6616628
2,02 Aragon,2024,80961,734,110.3010899
3,"03 Asturias, Principado de",2024,53936,501,107.6566866
4,"04 Balears, Illes",2024,156575,756,207.1097884
5,05 Canarias,2024,141367,1215,116.3514403
6,06 Cantabria,2024,42083,393,107.0814249
7,08 Castilla - La Mancha,2024,132420,1352,97.94378698
8,07 Castilla y Leon,2024,161376,1422,113.4852321
9,09 Catalunya,2024,963110,5927,162.4953602
10,18 Ceuta,2024,5995,46,130.326087
11,10 Comunitat Valenciana,2024,369848,3498,105.731275
12,11 Extremadura,2024,56056,604,92.80794702
13,12 Galicia,2024,153767,1412,108.9001416
14,"13 Madrid, Comunidad de",2024,1086232,6167,176.1362089
15,19 Melilla,2024,6002,39,153.8974359
16,"14 Murcia, Regiun de",2024,77091,901,85.56159822
17,"15 Navarra, Comunidad Foral de",2024,46953,374,125.5427807
18,16 Pais Vasco,2024,234816,1555,151.007074
19,"17 Rioja, La",2024,15925,170,93.67647059
20,Total Nacional,2023,54114133,381064,142.0079908
21,01 Andalucia,2023,9790416,77745,125.9298476
22,02 Aragon,2023,1091339,9710,112.3933059
23,"03 Asturias, Principado de",2023,768732,6845,112.3056245
24,"04 Balears, Illes",2023,2195298,8980,244.4652561
25,05 Canarias,2023,1589781,14402,110.3861269
26,06 Cantabria,2023,520069,4494,115.7251891
27,08 Castilla - La Mancha,2023,1527059,15253,100.1153216
28,07 Castilla y Leon,2023,1639938,15429,106.2893253
29,09 Catalunya,2023,10524318,65463,160.7674259
30,18 Ceuta,2023,48140,387,124.3927649
31,10 Comunitat Valenciana,2023,4624343,43218,107.0003934
32,11 Extremadura,2023,549465,6198,88.65198451
33,12 Galicia,2023,1416577,12360,114.6097896
34,"13 Madrid, Comunidad de",2023,12960457,63374,204.5074794
35,19 Melilla,2023,51921,383,135.5639687
36,"14 Murcia, Regiun de",2023,967714,11016,87.84622367
37,"15 Navarra, Comunidad Foral de",2023,608981,4599,132.41596
38,16 Pais Vasco,2023,3040717,19135,158.9086491
39,"17 Rioja, La",2023,198868,2073,95.93246503
40,Total Nacional,2022,67255564,464107,144.9139186
41,01 Andalucia,2022,11354452,91155,124.5620317
42,02 Aragon,2022,1438033,12074,119.1016233
43,"03 Asturias, Principado de",2022,889779,8156,109.0950221
44,"04 Balears, Illes",2022,2692544,11447,235.2183105
45,05 Canarias,2022,1834363,15987,114.7409145
46,06 Cantabria,2022,651117,5590,116.4788909
47,08 Castilla - La Mancha,2022,1723053,17013,101.2786105
48,07 Castilla y Leon,2022,1928098,18328,105.1995853
49,09 Catalunya,2022,13745731,81068,169.5580377
50,18 Ceuta,2022,56025,410,136.6463415
51,10 Comunitat Valenciana,2022,5667333,53616,105.7022717
52,11 Extremadura,2022,683529,7673,89.08236674
53,12 Galicia,2022,1840248,15802,116.4566511
54,"13 Madrid, Comunidad de",2022,16703374,79894,209.0691917
55,19 Melilla,2022,81844,575,142.3373913
56,"14 Murcia, Regiun de",2022,1258592,13775,91.36784029
57,"15 Navarra, Comunidad Foral de",2022,681121,5219,130.5079517
58,16 Pais Vasco,2022,3699734,23076,160.3282198
59,"17 Rioja, La",2022,326594,3249,100.5213912
60,Total Nacional,2021,57492599,418058,137.5230207
61,01 Andalucia,2021,9794238,83446,117.3721688
62,02 Aragon,2021,1235429,10947,112.8554855
63,"03 Asturias, Principado de",2021,772890,7268,106.341497
64,"04 Balears, Illes",2021,1909554,9222,207.0650618
65,05 Canarias,2021,1411646,12584,112.1778449
66,06 Cantabria,2021,599306,5537,108.2365902
67,08 Castilla - La Mancha,2021,1604300,16395,97.85300396
68,07 Castilla y Leon,2021,1695195,16858,100.5573022
69,09 Catalunya,2021,11359494,70366,161.4344143
70,18 Ceuta,2021,32359,235,137.6978723
71,10 Comunitat Valenciana,2021,4869552,47867,101.7308793
72,11 Extremadura,2021,624216,7431,84.00161486
73,12 Galicia,2021,1554215,14447,107.5804665
74,"13 Madrid, Comunidad de",2021,14682282,73389,200.0610718
75,19 Melilla,2021,75919,566,134.1325088
76,"14 Murcia, Regiun de",2021,1080338,12689,85.13972732
77,"15 Navarra, Comunidad Foral de",2021,640344,5190,123.3803468
78,16 Pais Vasco,2021,3318808,21098,157.304389
79,"17 Rioja, La",2021,232514,2523,92.15774871
80,Total Nacional,2020,45508122,337752,134.7382754
81,01 Andalucia,2020,7442863,63712,116.8204263
82,02 Aragon,2020,1088913,9589,113.5585567
83,"03 Asturias, Principado de",2020,631511,6680,94.53757485
84,"04 Balears, Illes",2020,1587519,9463,167.7606467
85,05 Canarias,2020,1244594,12097,102.8845168
86,06 Cantabria,2020,409036,3867,105.7760538
87,08 Castilla - La Mancha,2020,1129116,12467,90.56838052
88,07 Castilla y Leon,2020,1271096,13666,93.01156154
89,09 Catalunya,2020,9928133,54688,181.5413436
90,18 Ceuta,2020,45644,309,147.7152104
91,10 Comunitat Valenciana,2020,3522641,37307,94.42305734
92,11 Extremadura,2020,484846,5949,81.50042024
93,12 Galicia,2020,1170455,11533,101.4874707
94,"13 Madrid, Comunidad de",2020,11220349,61445,182.6080072
95,19 Melilla,2020,50581,375,134.8826667
96,"14 Murcia, Regiun de",2020,754852,9032,83.57528787
97,"15 Navarra, Comunidad Foral de",2020,488491,4201,116.2796953
98,16 Pais Vasco,2020,2847888,19252,147.9268647
99,"17 Rioja, La",2020,189594,2120,89.43113208
100,Total Nacional,2019,45383450,361291,125.6146707
101,01 Andalucia,2019,7421499,68091,108.9938318
102,02 Aragon,2019,922667,8979,102.758325
103,"03 Asturias, Principado de",2019,590084,6223,94.82307569
104,"04 Balears, Illes",2019,1724314,10032,171.8813796
105,05 Canarias,2019,1340122,13972,95.91482966
106,06 Cantabria,2019,412170,4039,102.0475365
107,08 Castilla - La Mancha,2019,1267259,14632,86.60873428
108,07 Castilla y Leon,2019,1255003,13266,94.60297
109,09 Catalunya,2019,8752898,58699,149.1149423
110,18 Ceuta,2019,44782,348,128.683908
111,10 Comunitat Valenciana,2019,3850460,40592,94.85760741
112,11 Extremadura,2019,437218,5563,78.59392414
113,12 Galicia,2019,1125059,11356,99.07176823
114,"13 Madrid, Comunidad de",2019,12026647,70581,170.3949647
115,19 Melilla,2019,45697,379,120.5725594
116,"14 Murcia, Regiun de",2019,728407,8881,82.01857899
117,"15 Navarra, Comunidad Foral de",2019,519396,4508,115.216504
118,16 Pais Vasco,2019,2734129,18961,144.1975107
119,"17 Rioja, La",2019,185639,2189,84.80539059
120,Total Nacional,2018,43284882,348326,124.2654353
121,01 Andalucia,2018,6914073,65958,104.8253889
122,02 Aragon,2018,880823,9036,97.479305
123,"03 Asturias, Principado de",2018,580054,6198,93.58728622
124,"04 Balears, Illes",2018,1802385,10434,172.7415181
125,05 Canarias,2018,1292065,13986,92.38273988
126,06 Cantabria,2018,410037,3908,104.9224667
127,08 Castilla - La Mancha,2018,1100140,12477,88.17343913
128,07 Castilla y Leon,2018,1177267,12784,92.08909574
129,09 Catalunya,2018,8409713,58136,144.6558587
130,18 Ceuta,2018,39715,335,118.5522388
131,10 Comunitat Valenciana,2018,3456478,37970,91.03181459
132,11 Extremadura,2018,424003,5364,79.04604773
133,12 Galicia,2018,1120343,11484,97.55686172
134,"13 Madrid, Comunidad de",2018,11636986,66106,176.0352464
135,19 Melilla,2018,63277,491,128.8737271
136,"14 Murcia, Regiun de",2018,698127,8419,82.92279368
137,"15 Navarra, Comunidad Foral de",2018,514015,4739,108.464866
138,16 Pais Vasco,2018,2555140,18169,140.6318455
139,"17 Rioja, La",2018,210241,2332,90.15480274
140,Total Nacional,2017,36664867,312843,117.1989368
141,01 Andalucia,2017,5949612,60246,98.75530326
